,fino,int1,int2,grueso,solidos,velocidad,potencia,cu,sentidogiro,relacionfinogrueso,relacionfecu,alimreal
370,39.02,22.69,24.37,12.46,75.14,8.69,20127.33,0.58,0.0,1.8210272873194222,5.862068965517242,4158.21
371,41.89,22.7,23.36,12.62,75.15,8.73,20059.49,0.58,0.0,1.7987321711568938,5.931034482758621,4186.67
372,41.69,23.19,23.28,12.76,75.01,8.73,20167.21,0.57,0.0,1.8173981191222572,6.157894736842105,4221.29
373,43.27,22.72,23.78,12.66,75.03,8.79,20325.64,0.57,0.0,1.7946287519747235,6.017543859649123,4199.379999999999
374,41.95,23.46,23.06,11.98,75.03,8.76,20302.17,0.57,0.0,1.9582637729549248,6.105263157894737,4210.17
375,39.49,22.76,24.14,12.72,75.19,8.78,20541.41,0.57,0.0,1.7893081761006289,6.105263157894737,4226.96
376,41.64,22.84,23.98,12.51,75.09,8.82,20765.01,0.58,0.0,1.8257394084732215,5.931034482758621,4230.9400000000005
377,41.45,22.51,23.49,13.92,75.27,8.95,21234.15,0.55,0.0,1.6170977011494254,6.254545454545454,4220.46
378,44.98,22.16,23.04,11.38,75.22,9.05,21459.03,0.57,0.0,1.9472759226713532,6.192982456140351,4118.369999999999
379,45.52,22.49,21.98,10.86,74.93,8.89,20984.19,0.56,0.0,2.070902394106814,6.374999999999999,4173.91
380,40.56,22.82,22.88,12.18,75.04,8.85,21117.72,0.56,0.0,1.8735632183908046,6.44642857142857,4173.780000000001
381,40.87,23.04,22.84,12.0,75.08,8.99,21390.44,0.56,0.0,1.92,6.7142857142857135,4240.76
382,44.7,23.31,21.87,11.98,74.93,9.09,21621.65,0.57,0.0,1.945742904841402,6.561403508771931,4165.39
383,40.15,22.98,22.22,12.26,74.64,8.87,20706.73,0.58,0.0,1.8743882544861339,6.551724137931035,4122.44
384,43.02,23.31,21.76,12.57,74.95,8.79,20540.52,0.6,0.0,1.854415274463007,6.2,4203.14
385,43.16,22.88,22.14,11.7,74.97,8.78,20224.05,0.58,0.0,1.9555555555555555,6.431034482758621,4194.499999999999
386,37.29,22.97,22.82,13.19,75.12,8.81,20646.79,0.55,0.0,1.7414708112206216,6.727272727272727,4195.610000000001
387,42.8,22.6,23.56,12.52,74.9,8.87,20757.62,0.6,0.0,1.8051118210862622,6.283333333333333,4174.43
388,41.89,22.79,22.69,13.0,74.98,8.94,21131.31,0.61,0.0,1.753076923076923,6.163934426229508,4192.820000000001
389,41.25,23.13,21.76,12.11,75.1,8.97,21299.33,0.58,0.0,1.9099917423616846,6.53448275862069,4169.79
390,41.75,23.2,22.35,11.63,74.92,8.94,21365.54,0.58,0.0,1.994840928632846,6.53448275862069,4220.5199999999995
391,40.99,23.38,22.74,12.71,74.78,9.1,21949.82,0.56,0.0,1.8394964594807237,6.7142857142857135,4146.9800000000005
392,41.04,22.95,23.19,12.33,74.98,9.2,22207.82,0.54,0.0,1.8613138686131385,6.9074074074074066,4173.38
393,40.23,22.29,23.44,12.63,74.54,9.09,21966.21,0.56,0.0,1.7648456057007125,6.7142857142857135,4193.76
394,38.29,22.41,24.25,13.23,74.47,9.09,21997.88,0.56,0.0,1.693877551020408,6.732142857142857,4265.349999999999
